_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
65d31ea22c98ce4374d30e41||76.37|95.26|84.37|79.73|191,7,0,1|time|30||10|30.01|0|17.45|false|false|english|none|normal|false|false|false||1708334752887
65d31e382c98ce4374d30a71||73.6|95.83|73.6|69.69|46,0,0,0|words|10||1|7.5|0|2.82|false|false|english|none|normal|false|false|false||1708334646957
65d31e2b2c98ce4374d30a0d||87.27|100|87.27|85.18|43,0,0,0|words|10||22|5.91|0|68.96|false|false|english|none|normal|false|false|false||1708334634692
65d31dcc2c98ce4374d30680||77.2|95.83|77.2|76.92|45,0,0,0|words|10||3|7|1|9.18|false|false|english|none|normal|false|false|false||1708334538864
65d31db72c98ce4374d305d0||72.56|96.15|72.56|69.72|50,0,0,0|words|10||1|8.27|0|0.94|false|false|english|none|normal|false|false|false||1708334518760
65d31dad2c98ce4374d30569||80.77|100|80.77|80.5|58,0,0,0|words|10||5|8.62|0|17.55|false|false|english|none|normal|false|false|false||1708334507466
65d31d832c98ce4374d303cd||72.16|98.04|72.16|56.81|50,0,0,0|words|10||3|8.32|0|8.04|false|false|english|none|normal|false|false|false||1708334466250
65d31d6f2c98ce4374d30315||85.76|98|85.76|68.79|49,0,0,0|words|10||24|6.86|0|53.12|false|false|english|none|normal|false|false|false||1708334446105
65d31cf42c98ce4374d2fe51||75.45|96|75.45|72.93|48,0,0,0|words|10||0|7.63|0|0|false|false|english|none|normal|false|false|false||1708334323787
65d31ce72c98ce4374d2fdc9||98.19|100|98.19|67.01|42,0,0,0|words|10||23|5.13|0|48.19|false|false|english|none|normal|false|false|false||1708334309835
65d31c842c98ce4374d2fa1a||78.64|96.83|78.64|70.69|61,0,0,0|words|10||27|9.31|0|63.79|false|false|english|none|normal|false|false|false||1708334210543
65d2efc52c98ce4374d159c8||90.43|98.15|90.43|60.3|53,0,0,0|words|10||5|7.03|0|7.85|false|false|english|none|normal|false|false|false||1708322756361
65d2efb02c98ce4374d1590e||92.75|100|92.75|78.19|52,0,0,0|words|10||17|6.73|0|26.18|false|false|english|none|normal|false|false|false||1708322735694
65d2ef382c98ce4374d154a0||90.5|100|90.5|83.49|44,0,0,0|words|10|-1|18|5.83|0|28.89|false|false|english|none|normal|false|false|false||1708322616000
65d2eef32c98ce4374d15257||106.54|100|106.54|91.68|49,0,0,0|words|10|-1|7|5.52|0|17.17|false|false|english|none|normal|false|false|false||1708322547000
65d2eed62c98ce4374d1516a||88.58|97.83|88.58|63.76|45,0,0,0|words|10|-1|14|6.1|0|27.68|false|false|english|none|normal|false|false|false||1708322518000
65d049882c98ce4374bc7a56||96.49|100|96.49|79.45|47,0,0,0|words|10|-1|61|5.85|0|118.48|false|false|english|none|normal|false|false|false||1708149128000
65d048912c98ce4374bc72fd||106.79|100|106.79|81.26|49,0,0,0|words|10|-1|2|5.51|0|4.22|false|false|english|none|normal|false|false|false||1708148881000
65d048622c98ce4374bc7182||87.38|100|87.38|93.35|48,0,0,0|words|10|-1|5|6.59|0|11.79|false|false|english|none|normal|false|false|false||1708148834000
65d0484a2c98ce4374bc70d1||78.32|98.11|78.32|74.2|52,0,0,0|words|10|-1|6|7.97|0|8.22|false|false|english|none|normal|false|false|false||1708148810000
65d047ed2c98ce4374bc6e01||97.5|100|97.5|57.42|50,0,0,0|words|10|-1|0|6.15|0|0|false|false|english|none|normal|false|false|false||1708148717000
65d047912c98ce4374bc6ad9||78.89|100|78.89|57.96|47,0,0,0|words|10|-1|8|7.15|0|21.16|false|false|english|none|normal|false|false|false||1708148625000
65cf11ac2c98ce4374b09631||81.9|92|91.21|77.02|44,2,0,0|words|10|-1|6|6.45|0|12.37|false|false|english|none|normal|false|false|false||1708069292000
65cf11952c98ce4374b09584||96.21|100|96.21|76.29|52,0,0,0|words|10|-1|7|6.49|0|9.5|false|false|english|none|normal|false|false|false||1708069269000
